dist1,dist2,dist3,E
4.0,2.8,4.0,-1580.393051408715
3.6,3.6,4.8,-1580.403265164743
3.6,3.6,3.2,-1580.401441226413
4.0,4.4,3.6,-1580.403472386806
4.8,2.8,2.8,-1580.382361402761
3.2,4.0,2.8,-1580.391151731276
3.6,3.2,4.8,-1580.40158258753
3.6,2.8,4.8,-1580.39281944846
4.0,4.0,4.8,-1580.403632650648
3.6,4.0,4.8,-1580.403438620162
4.8,4.0,3.2,-1580.401740351775
3.2,3.2,3.2,-1580.398151846208
4.0,3.2,3.2,-1580.399950718656
2.8,2.8,4.4,-1580.382250628909
4.8,3.2,3.2,-1580.399916004112
3.2,4.4,3.2,-1580.399852953692
4.4,4.4,3.2,-1580.401700803894
4.4,4.4,4.4,-1580.403548853627
2.8,3.2,3.6,-1580.391033726012
4.8,3.2,4.8,-1580.401649783673
3.2,4.4,2.8,-1580.391059786503
2.8,4.0,3.2,-1580.391154703357
3.6,4.8,4.0,-1580.403458022786
4.0,2.8,4.8,-1580.393056910413
4.0,3.2,2.8,-1580.391163269918
2.8,4.8,2.8,-1580.382348883187
3.6,4.4,4.8,-1580.403372088237
4.0,4.0,2.8,-1580.393044109361
4.0,3.2,4.4,-1580.401782760045
4.4,3.2,3.2,-1580.399849529342
4.4,4.0,4.0,-1580.403699975453
3.6,2.8,3.2,-1580.391034873739
3.6,4.0,4.4,-1580.403471723122
4.0,4.0,3.6,-1580.403557207163
4.4,3.2,4.4,-1580.401699243967
3.2,4.4,4.0,-1580.401763694948
4.8,4.8,2.8,-1580.392914684135
4.0,4.4,3.2,-1580.401765882252
4.0,4.8,4.0,-1580.403639717684
3.2,3.6,2.8,-1580.391025891086
2.8,3.2,4.8,-1580.391149648238
4.8,4.0,2.8,-1580.393026267206
3.2,2.8,4.0,-1580.391156631829
3.6,4.8,2.8,-1580.392852107519
4.4,4.4,4.0,-1580.403617386861
4.4,4.0,2.8,-1580.392978770257
2.8,3.2,3.2,-1580.3895102381
4.4,3.6,4.0,-1580.403477291472
3.2,4.8,4.4,-1580.401709097661
4.4,4.0,4.4,-1580.403618113374
4.0,4.8,4.8,-1580.40349525001
3.2,3.6,3.6,-1580.40142598627
3.2,3.6,3.2,-1580.399778518178
4.8,4.8,3.2,-1580.40165260921
3.6,4.0,4.0,-1580.403547558255
3.2,3.2,4.0,-1580.399932158285
2.8,4.8,4.0,-1580.392897396458
4.8,3.2,4.4,-1580.401710335525
4.0,2.8,2.8,-1580.382406664489
4.0,4.8,4.4,-1580.403563334498
2.8,3.6,4.8,-1580.392868074228
4.4,2.8,2.8,-1580.382269786796
3.2,4.0,4.4,-1580.401775146082
4.8,4.4,4.4,-1580.403480940149
2.8,2.8,2.8,-1580.372910994843
4.8,4.0,4.4,-1580.403549964947
4.8,4.4,4.8,-1580.403409971135
4.4,3.6,4.8,-1580.403373808603
3.6,4.8,3.6,-1580.403223535841
4.4,3.6,3.6,-1580.403267740474
4.8,4.8,3.6,-1580.403293879284
4.0,4.8,3.2,-1580.401776068734
2.8,3.6,4.4,-1580.392745306371
2.8,4.8,3.2,-1580.391159980667
4.4,4.8,4.0,-1580.403570358877
4.8,2.8,4.4,-1580.39288357879
3.2,3.2,3.6,-1580.399778618467
3.6,4.8,4.4,-1580.403376321259
4.8,3.6,4.4,-1580.403370622038
4.0,3.2,3.6,-1580.401630743904
2.8,3.6,3.2,-1580.391023101807
3.2,4.4,4.8,-1580.401693733847
3.2,4.4,4.4,-1580.401685197281
3.2,4.4,3.6,-1580.401552877158
4.0,3.6,3.6,-1580.40333755684
3.6,2.8,2.8,-1580.382368791594
4.4,2.8,4.0,-1580.392943775685
4.8,2.8,4.8,-1580.392907189681
2.8,4.8,4.4,-1580.392864278255
4.4,3.2,4.0,-1580.401769673988
3.6,3.2,2.8,-1580.391041754765
2.8,4.4,4.8,-1580.392984223127
3.2,4.0,3.2,-1580.399947153185
3.2,3.6,4.0,-1580.401638796647
2.8,4.4,4.0,-1580.392963155001
3.2,4.8,3.2,-1580.399918240935
2.8,4.0,4.0,-1580.393046713632
2.8,3.6,3.6,-1580.392677964797
4.0,4.4,4.0,-1580.403701073819
3.2,3.2,2.8,-1580.389504266228
4.4,2.8,3.6,-1580.39276371677
2.8,4.4,3.6,-1580.392763885201
3.2,4.0,4.8,-1580.401746690332
4.0,3.2,4.0,-1580.401832899809
2.8,4.4,4.4,-1580.392947684822
4.4,3.2,3.6,-1580.401559569525
4.0,4.0,4.0,-1580.403770538849
3.6,4.4,3.6,-1580.403269850268
3.6,4.4,4.4,-1580.403441437072
4.0,2.8,3.6,-1580.392834557536
4.4,3.6,3.2,-1580.401559791321
4.8,4.4,3.6,-1580.403369960595
3.6,3.6,4.4,-1580.403262896777
4.0,3.6,4.8,-1580.403442265158
4.0,4.4,4.8,-1580.40355192857
3.2,4.0,3.6,-1580.401643089621
4.8,4.4,2.8,-1580.392965332802
2.8,4.4,3.2,-1580.391058324912
4.8,3.2,3.6,-1580.401567015937
3.2,2.8,4.4,-1580.39105726656
4.8,3.6,3.6,-1580.403255208763
4.8,3.6,3.2,-1580.401580514628
4.0,4.4,4.4,-1580.403622617869
4.4,4.0,4.8,-1580.403570122328
4.4,4.8,2.8,-1580.392984439497
3.2,4.8,4.8,-1580.401649966108
4.0,3.6,4.4,-1580.403474014245
4.8,4.0,4.8,-1580.403487404742
4.8,3.6,2.8,-1580.392696678326
3.6,2.8,4.4,-1580.392753026756
4.4,3.6,2.8,-1580.392763141865
3.6,3.6,2.8,-1580.392659927885
2.8,3.2,4.4,-1580.39105936751
4.4,4.8,3.2,-1580.401674463691
3.6,4.0,2.8,-1580.392838217642
4.8,4.8,4.4,-1580.403406067426
4.8,2.8,3.6,-1580.392851874744
3.2,3.2,4.8,-1580.399882054522
4.4,2.8,4.8,-1580.39298582268
4.4,4.8,4.8,-1580.403404597318
3.6,4.0,3.2,-1580.401631138626
4.8,4.0,4.0,-1580.403645312496
3.6,4.8,3.2,-1580.401578720007
4.8,3.6,4.0,-1580.403423027963
4.4,4.0,3.6,-1580.403485343389
4.8,4.0,3.6,-1580.403424268314
4.0,4.8,2.8,-1580.392954723408
3.2,3.6,4.4,-1580.401548375079
3.6,3.6,4.0,-1580.403318304785
4.0,3.2,4.8,-1580.40176824574
2.8,3.2,4.0,-1580.391168162411
3.2,4.8,2.8,-1580.391071243724
2.8,2.8,3.6,-1580.382376896998
3.2,4.8,4.0,-1580.401798098578
4.4,2.8,3.2,-1580.39105546885
2.8,4.0,3.6,-1580.392836334217
3.2,3.2,4.4,-1580.399845013692
4.8,3.2,4.0,-1580.401779988615
4.4,4.8,3.6,-1580.403378368999
2.8,4.0,2.8,-1580.382390352099
4.8,2.8,4.0,-1580.393016233072
4.0,4.8,3.6,-1580.40344822934
2.8,4.8,4.8,-1580.392924391877
3.6,3.2,3.2,-1580.399771367073
4.8,4.4,3.2,-1580.401660819225
2.8,3.6,2.8,-1580.382375913993
4.8,3.6,4.8,-1580.403299619497
4.4,4.0,3.2,-1580.401765255238
3.2,4.0,4.0,-1580.401843136674
2.8,2.8,3.2,-1580.381028439935
4.4,4.4,4.8,-1580.403480350821
4.0,2.8,3.2,-1580.391155317627
3.6,2.8,3.6,-1580.392682338239
4.0,4.0,4.4,-1580.403690707188
3.2,2.8,3.2,-1580.389515656198
4.8,4.8,4.8,-1580.403323823623
4.4,3.6,4.4,-1580.403404711458
3.6,4.0,3.6,-1580.40333520877
2.8,4.0,4.8,-1580.393034682713
2.8,4.8,3.6,-1580.392714769102
3.2,3.6,4.8,-1580.40153695888
4.4,4.8,4.4,-1580.403479235207
4.0,3.6,2.8,-1580.392837995514
4.4,2.8,4.4,-1580.39289288482
3.6,4.8,4.8,-1580.403294063704
3.6,2.8,4.0,-1580.392847661618
3.2,4.8,3.6,-1580.4015761295
2.8,2.8,4.0,-1580.382386103412
4.4,3.2,2.8,-1580.391061953045
3.6,3.6,3.6,-1580.403133141567
3.6,4.4,3.2,-1580.401546151094
2.8,4.0,4.4,-1580.392979918754
2.8,3.2,2.8,-1580.381035373212
4.8,4.8,4.0,-1580.403488403269
4.4,4.4,3.6,-1580.4034126541
2.8,3.6,4.0,-1580.392845637607
4.0,3.6,3.2,-1580.401624802297
3.6,4.4,4.0,-1580.403473758252
3.6,3.2,4.0,-1580.401641905753
3.2,2.8,4.8,-1580.391194410792
4.0,3.6,4.0,-1580.403551573602
4.8,3.2,2.8,-1580.391158689216
3.6,3.2,3.6,-1580.401438687174
4.0,4.0,3.2,-1580.401826056504
3.6,4.4,2.8,-1580.392762280083
4.8,4.4,4.0,-1580.403577270677
4.0,4.4,2.8,-1580.392963767708
3.2,2.8,2.8,-1580.381035011727
4.8,2.8,3.2,-1580.39117757098
2.8,2.8,4.8,-1580.382348603376
4.0,2.8,4.4,-1580.392974806146
4.4,3.2,4.8,-1580.40169974119
2.8,4.4,2.8,-1580.382255110731
4.4,4.4,2.8,-1580.392898209598
3.2,2.8,3.6,-1580.391031241149
3.6,3.2,4.4,-1580.401547896622
